height,weight,sixty_time,exit_velo_max,exit_velo_avg,distance_max,inf_velo,three_section_commit_group,primary_position_2B,primary_position_3B,primary_position_SS,throwing_hand_R,hitting_handedness_R,hitting_handedness_S,player_region_Northeast,player_region_South,player_region_West,power_speed,size_ratio,arm_strength_size,inf_velo_squared,sixty_time_squared,is_middle_infielder,elite_tools,southern_ss,South_tall,South_power,West_tall,West_power,Northeast_tall,Northeast_power
73.0,180.0,7.08,94.0,88.5,323.0,86.0,2,False,False,True,True,True,False,False,False,False,665.52,13140.0,6278.0,7396.0,50.126400000000004,True,False,False,False,False,False,False,False,False
73.0,205.0,6.84,103.8,93.8,386.0,93.0,2,False,True,False,True,True,False,False,True,False,709.992,14965.0,6789.0,8649.0,46.785599999999995,False,False,False,False,True,False,False,False,False
69.0,170.0,7.31,91.7,80.9,304.0,81.0,1,False,False,True,True,True,False,False,True,False,670.327,11730.0,5589.0,6561.0,53.436099999999996,True,False,True,False,False,False,False,False,False
74.0,195.6,6.7,97.0,91.8,375.0,82.0,1,False,True,False,True,False,True,False,True,False,649.9,14474.4,6068.0,6724.0,44.89,False,False,False,True,True,False,False,False,False
65.0,140.0,7.06,91.1,83.5,312.0,80.0,0,False,False,True,True,True,False,False,False,True,643.1659999999999,9100.0,5200.0,6400.0,49.843599999999995,True,False,False,False,False,False,False,False,False
74.0,175.0,6.92,93.5,89.0,364.0,86.0,0,False,True,False,True,True,False,False,False,False,647.02,12950.0,6364.0,7396.0,47.8864,False,False,False,False,False,False,False,False,False
72.0,180.0,6.83,94.4,83.0,313.0,85.0,0,False,False,True,True,True,False,False,True,False,644.7520000000001,12960.0,6120.0,7225.0,46.6489,True,False,True,False,False,False,False,False,False
70.0,208.6,7.68,91.0,80.7,346.0,73.0,0,False,True,False,True,True,False,True,False,False,698.88,14602.0,5110.0,5329.0,58.9824,False,False,False,False,False,False,False,False,False
74.0,180.0,7.44,92.4,87.6,326.0,76.0,0,False,False,True,True,True,False,False,False,False,687.4560000000001,13320.0,5624.0,5776.0,55.35360000000001,True,False,False,False,False,False,False,False,False
72.0,190.0,7.57,90.4,85.9,303.0,79.0,0,False,True,False,True,True,False,False,False,False,684.3280000000001,13680.0,5688.0,6241.0,57.3049,False,False,False,False,False,False,False,False,False
70.0,156.5,7.12,96.3,88.0,364.0,84.0,0,False,False,True,True,True,False,True,False,False,685.656,10955.0,5880.0,7056.0,50.6944,True,False,False,False,False,False,False,False,True
69.0,165.0,7.15,93.2,81.1,334.0,83.0,0,False,False,True,True,True,False,False,True,False,666.3800000000001,11385.0,5727.0,6889.0,51.1225,True,False,True,False,False,False,False,False,False
74.0,190.0,7.16,88.2,84.3,288.0,77.0,0,False,False,False,True,False,False,False,True,False,631.5120000000001,14060.0,5698.0,5929.0,51.2656,False,False,False,True,False,False,False,False,False
70.0,180.0,7.78,84.1,73.8,254.0,78.0,0,False,False,False,True,True,False,False,False,False,654.298,12600.0,5460.0,6084.0,60.528400000000005,False,False,False,False,False,False,False,False,False
75.0,193.0,7.11,91.3,87.6,309.0,84.0,1,False,False,True,True,True,False,False,False,False,649.143,14475.0,6300.0,7056.0,50.5521,True,False,False,False,False,False,False,False,False
68.0,160.0,7.52,87.9,80.9,310.0,84.0,0,False,False,True,True,False,False,False,False,True,661.008,10880.0,5712.0,7056.0,56.550399999999996,True,False,False,False,False,False,False,False,False
71.0,170.0,7.26,88.9,82.0,306.0,78.0,0,True,False,False,True,False,False,False,False,False,645.414,12070.0,5538.0,6084.0,52.7076,True,False,False,False,False,False,False,False,False
71.0,155.0,6.95,89.7,82.9,339.0,83.0,0,False,False,True,True,True,False,False,True,False,623.4150000000001,11005.0,5893.0,6889.0,48.3025,True,False,True,False,False,False,False,False,False
72.0,176.2,6.84,95.2,89.6,370.0,87.0,0,False,False,True,True,True,False,False,False,False,651.168,12686.4,6264.0,7569.0,46.785599999999995,True,False,False,False,False,False,False,False,False
71.0,180.0,7.22,96.9,89.5,321.0,85.0,0,True,False,False,True,True,False,False,False,False,699.618,12780.0,6035.0,7225.0,52.1284,True,False,False,False,False,False,False,False,False
73.0,195.0,7.01,96.2,91.5,366.0,90.0,2,False,False,True,True,True,False,False,False,False,674.362,14235.0,6570.0,8100.0,49.1401,True,False,False,False,False,False,False,False,False
69.0,140.0,6.8,92.6,85.0,340.0,82.0,0,False,False,True,True,False,False,False,True,False,629.68,9660.0,5658.0,6724.0,46.239999999999995,True,False,True,False,False,False,False,False,False
71.0,194.0,7.21,99.0,94.9,321.0,87.0,0,False,True,False,True,False,False,False,False,False,713.79,13774.0,6177.0,7569.0,51.9841,False,False,False,False,False,False,False,False,False
73.0,175.0,7.24,85.6,79.0,278.0,77.0,0,True,False,False,True,True,False,False,False,False,619.744,12775.0,5621.0,5929.0,52.4176,True,False,False,False,False,False,False,False,False
72.0,170.0,7.73,83.2,72.9,249.0,77.0,0,False,False,True,True,False,False,True,False,False,643.1360000000001,12240.0,5544.0,5929.0,59.752900000000004,True,False,False,False,False,False,False,False,False
72.0,195.0,7.32,103.1,97.7,365.0,82.0,0,False,True,False,True,False,False,False,True,False,754.692,14040.0,5904.0,6724.0,53.58240000000001,False,False,False,False,True,False,False,False,False
70.0,180.0,7.0,94.7,90.6,288.0,81.0,0,False,False,True,True,True,False,False,False,False,662.9,12600.0,5670.0,6561.0,49.0,True,False,False,False,False,False,False,False,False
70.0,180.0,7.0,94.7,90.6,288.0,81.0,0,False,False,True,True,True,False,False,False,False,662.9,12600.0,5670.0,6561.0,49.0,True,False,False,False,False,False,False,False,False
70.0,180.0,7.0,94.7,90.6,288.0,81.0,2,False,False,True,True,True,False,False,False,False,662.9,12600.0,5670.0,6561.0,49.0,True,False,False,False,False,False,False,False,False
70.0,184.3,6.67,86.2,76.2,272.0,80.0,0,False,False,True,True,True,False,False,True,False,574.9540000000001,12901.0,5600.0,6400.0,44.4889,True,False,True,False,False,False,False,False,False
