primary_position,height,weight,throwing_hand,FastballVelocity (max),FastballVelo Range,FastballSpin Rate (avg),Changeup Velo Range,Changeup Spin Rate (avg),Curveball Velo Range,Curveball Spin Rate (avg),Slider Velo Range,Slider Spin Rate (avg),Region,group,num_pitches,fb_ch_velo_diff,fb_cb_velo_diff,fb_sl_velo_diff,FastballVelocity (max)_missing,FastballVelo Range_missing,FastballSpin Rate (avg)_missing,Changeup Velo Range_missing,Changeup Spin Rate (avg)_missing,Curveball Velo Range_missing,Curveball Spin Rate (avg)_missing,Slider Velo Range_missing,Slider Spin Rate (avg)_missing
RHP,75.0,190.0,R,93.0,92.5,2606.0,84.5,2013.0,82.5,2568.0,84.0,2589.0,Midwest,Power 4,4,8.0,10.0,8.5,0,0,0,0,0,0,0,0,0
RHP,78.0,215.0,R,86.0,83.8,2363.0,77.2,1813.0,69.7,2486.0,68.5,1912.0,Midwest,Mid Major,4,6.599999999999994,14.099999999999994,15.299999999999995,0,0,0,0,0,0,0,0,0
RHP,72.0,200.0,R,,,,,,,,,,West,Low Major,0,,,,1,1,1,1,1,1,1,1,1
LHP,76.0,197.3,R,79.0,77.0,1859.0,75.4,1841.0,69.5,1920.0,,,Midwest,D3,3,1.5999999999999943,7.5,,0,0,0,0,0,0,0,1,1
RHP,73.0,179.0,R,84.0,81.5,1961.0,60.4,1171.0,69.0,1425.0,,,Midwest,D3,3,21.1,12.5,,0,0,0,0,0,0,0,1,1
RHP,74.0,200.0,R,79.0,75.0,,,,62.0,,,,West,Mid Major,2,,13.0,,0,0,1,1,1,0,1,1,1
RHP,74.0,175.0,L,,81.0,,72.5,,67.0,,,,Midwest,D2,3,8.5,14.0,,1,0,1,0,1,0,1,1,1
RHP,79.0,220.0,R,88.4,87.0,2268.0,83.0,2103.0,,,80.5,2438.0,Northeast,Low Major,3,4.0,,6.5,0,0,0,0,0,1,1,0,0
LHP,77.0,200.0,L,80.0,78.5,,74.5,,67.5,,,,Midwest,NAIA,3,4.0,11.0,,0,0,1,0,1,0,1,1,1
LHP,73.0,180.0,L,83.0,81.0,1987.0,72.2,1688.0,71.3,2149.0,,,South,Mid Major,3,8.799999999999997,9.700000000000005,,0,0,0,0,0,0,0,1,1
RHP,76.0,170.0,R,86.0,84.0,1773.0,71.2,1657.0,67.6,1595.0,70.0,1727.0,Midwest,D3,4,12.799999999999995,16.400000000000006,14.0,0,0,0,0,0,0,0,0,0
RHP,69.0,150.0,R,80.0,79.0,,73.0,,69.5,,,,South,NAIA,3,6.0,9.5,,0,0,1,0,1,0,1,1,1
RHP,72.0,160.0,R,81.0,79.5,1611.0,69.5,1253.0,67.5,1911.0,,,Midwest,D3,3,10.0,12.0,,0,0,0,0,0,0,0,1,1
RHP,74.0,180.0,R,81.0,79.5,,63.0,,71.5,,,,South,NAIA,3,16.5,8.0,,0,0,1,0,1,0,1,1,1
LHP,69.0,150.0,L,73.0,72.2,1924.0,71.9,1959.0,61.0,1399.0,,,Midwest,D3,3,0.2999999999999971,11.200000000000005,,0,0,0,0,0,0,0,1,1
RHP,75.0,180.0,R,86.0,83.6,2233.0,75.8,1601.0,70.6,2064.0,73.5,1680.0,South,D3,4,7.799999999999997,13.0,10.099999999999994,0,0,0,0,0,0,0,0,0
LHP,68.0,190.0,R,80.0,78.5,,75.0,,71.5,,,,South,JC,3,3.5,7.0,,0,0,1,0,1,0,1,1,1
RHP,76.0,200.0,R,82.0,80.0,1987.0,77.5,1419.0,71.0,1861.0,,,Midwest,NAIA,3,2.5,9.0,,0,0,0,0,0,0,0,1,1
LHP,69.0,130.0,L,73.8,72.1,1692.0,69.1,1508.0,61.0,2017.0,,,West,JC,3,3.0,11.099999999999994,,0,0,0,0,0,0,0,1,1
RHP,75.0,186.0,R,84.0,82.5,1729.0,78.0,1580.0,70.5,2045.0,69.6,2083.0,Midwest,JC,4,4.5,12.0,12.900000000000006,0,0,0,0,0,0,0,0,0
RHP,77.0,188.0,R,91.0,89.0,2267.0,81.4,1409.0,76.0,1771.0,78.5,2192.0,South,Power 4,4,7.599999999999994,13.0,10.5,0,0,0,0,0,0,0,0,0
LHP,75.0,180.0,L,89.0,86.2,2205.0,77.8,1491.0,71.5,2211.0,81.3,2427.0,Midwest,JC,4,8.400000000000006,14.700000000000005,4.900000000000006,0,0,0,0,0,0,0,0,0
RHP,77.0,205.0,R,91.0,89.0,,81.5,,70.0,,,,West,Mid Major,3,7.5,19.0,,0,0,1,0,1,0,1,1,1
RHP,70.0,170.0,R,81.8,80.7,1813.0,76.5,1274.0,72.0,2161.0,74.0,2090.0,Northeast,D3,4,4.200000000000003,8.700000000000003,6.700000000000003,0,0,0,0,0,0,0,0,0
LHP,75.0,186.0,L,81.0,79.5,,,,66.5,,,,Midwest,D2,2,,13.0,,0,0,1,1,1,0,1,1,1
RHP,75.0,210.0,R,91.0,89.5,2296.0,78.0,1910.0,74.0,2058.0,78.5,2226.0,Midwest,Low Major,4,11.5,15.5,11.0,0,0,0,0,0,0,0,0,0
RHP,69.0,160.0,R,78.2,76.0,2033.0,71.1,1678.0,68.0,2243.0,,,Midwest,D2,3,4.900000000000006,8.0,,0,0,0,0,0,0,0,1,1
RHP,73.0,195.0,R,89.0,86.5,2301.0,77.5,1874.0,75.0,,77.2,2293.0,Northeast,Low Major,4,9.0,11.5,9.299999999999995,0,0,0,0,0,0,1,0,0
RHP,76.0,235.0,R,79.0,76.6,1937.0,,,69.5,1770.0,,,Northeast,D3,2,,7.099999999999994,,0,0,0,1,1,0,0,1,1
RHP,73.0,175.0,R,72.1,71.0,1719.0,64.5,1593.0,58.0,2023.0,,,South,D2,3,6.5,13.0,,0,0,0,0,0,0,0,1,1
RHP,73.0,185.0,R,83.1,81.0,1892.0,75.0,1846.0,71.5,1865.0,,,West,D3,3,6.0,9.5,,0,0,0,0,0,0,0,1,1
RHP,71.0,180.0,R,80.0,77.6,1975.0,69.0,1564.0,,,71.3,1899.0,South,NAIA,3,8.599999999999994,,6.299999999999997,0,0,0,0,0,1,1,0,0
LHP,68.0,140.0,R,76.7,75.1,2199.0,,,62.9,2184.0,62.5,,Midwest,NAIA,3,,12.199999999999996,12.599999999999994,0,0,0,1,1,0,0,0,1
LHP,74.0,185.0,L,79.0,76.5,1662.0,66.0,,60.0,1454.0,,,South,D2,3,10.5,16.5,,0,0,0,0,1,0,0,1,1
RHP,78.0,195.0,R,89.0,86.0,2189.0,75.5,1797.0,71.0,1851.0,73.7,2247.0,Midwest,JC,4,10.5,15.0,12.299999999999995,0,0,0,0,0,0,0,0,0
RHP,78.0,195.0,R,89.0,,,,,,,,,South,JC,0,,,,0,1,1,1,1,1,1,1,1
RHP,75.0,165.0,R,88.3,87.5,2217.0,80.5,1855.0,75.5,2569.0,79.4,2448.0,Midwest,JC,4,7.0,12.0,8.099999999999994,0,0,0,0,0,0,0,0,0
RHP,74.0,206.0,R,88.1,85.8,2215.0,79.7,2102.0,72.0,1943.0,,,West,D3,3,6.099999999999994,13.799999999999995,,0,0,0,0,0,0,0,1,1
RHP,75.0,195.0,R,81.0,79.6,1956.0,73.3,1688.0,,,72.5,1940.0,Midwest,JC,3,6.299999999999997,,7.099999999999994,0,0,0,0,0,1,1,0,0
RHP,75.0,175.0,R,83.0,82.5,1923.0,74.3,1563.0,65.7,1981.0,75.0,2055.0,Midwest,JC,4,8.200000000000003,16.799999999999997,7.5,0,0,0,0,0,0,0,0,0
RHP,74.0,165.0,R,77.9,77.2,1674.0,,,65.3,1743.0,67.5,1688.0,Northeast,D3,3,,11.900000000000006,9.700000000000005,0,0,0,1,1,0,0,0,0
RHP,76.0,210.0,L,91.0,88.0,1923.0,80.5,1653.0,71.0,2154.0,77.5,,South,Low Major,4,7.5,17.0,10.5,0,0,0,0,0,0,0,0,1
RHP,75.0,203.7,R,87.8,86.0,2457.0,79.4,1947.0,72.9,2131.0,74.5,2396.0,Midwest,JC,4,6.599999999999994,13.099999999999994,11.5,0,0,0,0,0,0,0,0,0
RHP,75.0,200.0,R,,,,,,,,,,Midwest,JC,0,,,,1,1,1,1,1,1,1,1,1
RHP,70.0,150.0,R,83.0,81.3,2323.0,74.0,2091.0,66.5,2561.0,69.8,2648.0,Northeast,JC,4,7.299999999999997,14.799999999999995,11.5,0,0,0,0,0,0,0,0,0
RHP,77.0,175.0,R,79.0,77.5,2020.0,65.5,1981.0,,,,,West,Low Major,2,12.0,,,0,0,0,0,0,1,1,1,1
LHP,73.0,195.0,L,87.0,85.5,1974.0,80.5,1470.0,72.0,1920.0,72.7,1838.0,South,D3,4,5.0,13.5,12.799999999999995,0,0,0,0,0,0,0,0,0
RHP,74.0,154.0,R,,,,,,,,,,Midwest,NAIA,0,,,,1,1,1,1,1,1,1,1,1
RHP,74.0,180.0,R,84.7,81.3,1770.0,64.5,,69.0,1895.0,,,Midwest,D3,3,16.799999999999997,12.299999999999995,,0,0,0,0,1,0,0,1,1
LHP,71.0,165.0,L,82.3,79.0,2097.0,72.0,1737.0,70.5,2156.0,,,West,Mid Major,3,7.0,8.5,,0,0,0,0,0,0,0,1,1
LHP,73.0,185.0,L,83.0,82.0,1963.0,74.0,1668.0,70.0,2052.0,,,Northeast,D2,3,8.0,12.0,,0,0,0,0,0,0,0,1,1
LHP,74.0,165.0,L,76.0,74.0,,,,63.0,,,,South,Mid Major,2,,11.0,,0,0,1,1,1,0,1,1,1
LHP,71.0,180.0,R,82.1,81.5,2063.0,74.5,,69.0,1773.0,69.5,1747.0,Northeast,Low Major,4,7.0,12.5,12.0,0,0,0,0,1,0,0,0,0
LHP,73.0,175.0,R,82.0,80.5,2155.0,71.8,1899.0,,,74.0,2245.0,Northeast,Mid Major,3,8.700000000000003,,6.5,0,0,0,0,0,1,1,0,0
RHP,72.0,200.0,R,84.0,82.5,2164.0,66.5,,71.0,2054.0,,,Midwest,D2,3,16.0,11.5,,0,0,0,0,1,0,0,1,1
RHP,73.0,175.0,R,85.0,83.5,,,,71.5,,,,South,Mid Major,2,,12.0,,0,0,1,1,1,0,1,1,1
RHP,76.0,210.0,R,83.0,81.0,,72.5,,,,72.0,,South,Mid Major,3,8.5,,9.0,0,0,1,0,1,1,1,0,1
RHP,78.0,175.0,R,90.0,87.8,2278.0,77.5,1647.0,68.2,1989.0,,,Midwest,JC,3,10.299999999999995,19.59999999999999,,0,0,0,0,0,0,0,1,1
RHP,74.0,,R,,,,,,,,,,West,Power 4,0,,,,1,1,1,1,1,1,1,1,1
RHP,73.0,135.0,R,,85.5,,77.5,,73.5,,71.5,,South,Mid Major,4,8.0,12.0,14.0,1,0,1,0,1,0,1,0,1
LHP,78.0,175.0,R,,,,,,,,,,Midwest,Mid Major,0,,,,1,1,1,1,1,1,1,1,1
LHP,71.0,174.0,R,85.0,83.5,1415.0,72.5,,66.0,1540.0,,,South,D2,3,11.0,17.5,,0,0,0,0,1,0,0,1,1
RHP,72.0,187.0,R,85.0,84.0,1999.0,75.5,1774.0,72.0,2066.0,,,Midwest,JC,3,8.5,12.0,,0,0,0,0,0,0,0,1,1
LHP,72.0,187.0,R,,,,,,,,,,South,D3,0,,,,1,1,1,1,1,1,1,1,1
RHP,72.0,165.0,R,,85.0,,77.5,,69.5,,74.0,,West,Mid Major,4,7.5,15.5,11.0,1,0,1,0,1,0,1,0,1
RHP,75.0,190.0,R,86.0,85.5,2194.0,81.5,1579.0,72.5,2058.0,74.5,1896.0,West,Power 4,4,4.0,13.0,11.0,0,0,0,0,0,0,0,0,0
RHP,75.0,180.0,R,89.0,86.5,1826.0,76.7,2100.0,74.0,,78.2,1959.0,Northeast,Low Major,4,9.799999999999995,12.5,8.299999999999997,0,0,0,0,0,0,1,0,0
RHP,73.0,170.0,R,80.0,76.5,2352.0,68.5,,70.0,2420.0,,,Northeast,D3,3,8.0,6.5,,0,0,0,0,1,0,0,1,1
RHP,71.0,190.0,R,,,,,,,,,,West,JC,0,,,,1,1,1,1,1,1,1,1,1
RHP,70.0,165.0,R,,78.0,,,,59.0,,,,West,JC,2,,19.0,,1,0,1,1,1,0,1,1,1
RHP,72.0,170.0,R,90.0,84.6,1826.0,72.8,1238.0,69.0,1867.0,,,Midwest,D3,3,11.799999999999995,15.599999999999994,,0,0,0,0,0,0,0,1,1
RHP,72.0,208.0,R,91.0,90.5,2371.0,82.4,1582.0,75.0,2397.0,80.0,2189.0,Midwest,Mid Major,4,8.099999999999994,15.5,10.5,0,0,0,0,0,0,0,0,0
RHP,71.0,190.0,R,84.8,83.2,2106.0,77.1,1622.0,70.0,2080.0,73.5,2000.0,Northeast,D3,4,6.1000000000000085,13.200000000000005,9.700000000000005,0,0,0,0,0,0,0,0,0
RHP,73.0,177.0,R,89.0,87.4,2510.0,78.9,1725.0,73.0,2796.0,74.5,2875.0,Midwest,JC,4,8.5,14.400000000000006,12.900000000000006,0,0,0,0,0,0,0,0,0
RHP,70.0,160.0,R,81.0,79.5,2312.0,68.5,2059.0,67.5,2306.0,,,Northeast,D3,3,11.0,12.0,,0,0,0,0,0,0,0,1,1
RHP,76.0,166.9,R,87.0,85.3,2229.0,81.8,2004.0,76.0,2300.0,,,Midwest,D2,3,3.5,9.299999999999995,,0,0,0,0,0,0,0,1,1
RHP,73.0,197.0,R,87.0,86.0,1929.0,72.5,,73.5,2238.0,73.4,2191.0,Northeast,Low Major,4,13.5,12.5,12.599999999999994,0,0,0,0,1,0,0,0,0
RHP,71.0,200.0,R,89.0,86.0,2171.0,73.5,,74.0,2721.0,75.5,2552.0,Midwest,D2,4,12.5,12.0,10.5,0,0,0,0,1,0,0,0,0
RHP,75.0,160.0,L,,77.0,,,,,,,,West,JC,1,,,,1,0,1,1,1,1,1,1,1
LHP,75.0,180.0,L,84.2,83.5,2419.0,78.2,1947.0,72.0,2387.0,72.0,2305.0,Midwest,Mid Major,4,5.299999999999997,11.5,11.5,0,0,0,0,0,0,0,0,0
LHP,75.0,205.0,L,91.6,90.3,2018.0,80.2,1918.0,75.8,2038.0,82.2,1948.0,Midwest,Power 4,4,10.099999999999994,14.5,8.099999999999994,0,0,0,0,0,0,0,0,0
LHP,76.0,185.0,L,91.0,89.5,1923.0,80.6,1752.0,74.5,1759.0,75.3,2349.0,South,Power 4,4,8.900000000000006,15.0,14.200000000000005,0,0,0,0,0,0,0,0,0
LHP,72.0,195.0,L,,92.5,,78.0,,,,74.5,,South,Power 4,3,14.5,,18.0,1,0,1,0,1,1,1,0,1
RHP,75.0,190.0,R,88.0,86.2,2319.0,78.3,1827.0,69.4,2309.0,,,West,JC,3,7.900000000000006,16.799999999999997,,0,0,0,0,0,0,0,1,1
